Puzzle,Category,Time(millis),Date(millis),Scramble,Penalty,Comment
"333","cfop","17120","1548844673395","L2 U' B2 U2 B2 U F2 U L2 R2 B2 R D U2 R2 D' B L2 R' B F'","0",""
"333","cfop","17600","1548844716199","R U2 R L U2 B' D R' F2 L' F R2 F' D2 R2 F B' R2 B2 R2","0",""
"333","cfop","19320","1548844761121","R2 D2 B' L2 B2 F' L2 F2 U' F2 L F' U L D' R U L B'","0",""
"333","cfop","17670","1548844808383","U' D' B' D B' R2 B U D L F2 D' F2 D2 B2 U2 R2 U R2 D'","0",""
"333","cfop","18470","1548844854938","D2 L2 B2 D2 B F2 D2 L2 F' L U' F' D F' L B U R' U2","0",""
"333","cfop","20920","1548844897751","B' U' B2 D' B' R F' L U' R2 D2 L' U2 D2 L B2 L U2 L2 F2","0",""
"333","cfop","17640","1548844947055","D2 R2 B2 L F2 R' B2 D2 R U' L B' D' R2 U2 F D2 B' R' F'","0",""
"333","cfop","20710","1548844991380","F2 U2 F U2 F D2 R2 F2 L2 D L R D2 B' U' F' D' R F","0",""
"333","cfop","16670","1548845034373","R2 D' F2 B U R' U' B U' R D2 R2 B' L2 F2 L2 F2 D2 F2","0",""
"333","cfop","21250","1548845077837","U2 L U2 R2 B2 L B2 L' U2 R B2 U L2 F D B R2 U' R F' L2","0",""
"333","cfop","15390","1548845114634","F U2 F2 U R U2 B U' L U' L2 U R2 L2 B2 L2 F2 U' F2 R2","0",""
"333","cfop","14770","1548845154141","B2 D' B2 R2 U B2 U2 F2 D B2 R' B2 D2 L B' U L R D F D2","0",""
"333","cfop","20660","1548845194510","B' U' F U L F D2 L2 U R D L2 B2 D L2 U2 B2 R2","0",""
"333","cfop","21330","1548845244057","L' U D B' U2 B2 L2 F2 D B D2 L' B2 D2 R2 L' D2 B2 R","0",""
"333","cfop","19860","1548845297768","D2 R U2 R' U2 R2 B2 F2 L' B2 D' U' R B' F' R2 U' L R2 F2","0",""
"333","cfop","20330","1548845358456","U F2 R' D F L B2 U F R2 L2 D' L2 U' F2 D' L2 D R2 D2","0",""
"333","cfop","17710","1548845404522","U' D2 R' U2 B' R U' B D' F2 B U2 F' U2 R2 F2 B'","0",""
"333","cfop","18330","1548845790294","F2 U2 B2 R2 B' R2 U2 L2 D2 B' R F' L2 B U L D2 B2 F2","0",""
"333","cfop","16050","1548845831165","R2 F2 R' F2 R B2 F2 U2 R F' L' U' F' D2 U' B2 F' D2 F","0",""
"333","cfop","17210","1548845874789","R D2 L' B' D' L2 F U' L' U2 D F2 R2 D R2 D R2 D F2 L2","0",""
"333","cfop","16910","1548845915647","D2 U2 L D2 U2 R F2 L' U2 R' D' L' D2 F2 L B D' R2 U2 L","0",""
"333","cfop","17420","1548845969232","F2 R2 D B L D R' U' F2 D F2 B2 L' F2 R U2 R F2 L","0",""
"333","cfop","18600","1548846015969","L2 F D2 L D2 F B D' F' L2 B2 R L2 F2 B2 L' F2 R' U2 L'","0",""
"333","cfop","17460","1548846057757","B' L F L B R2 L2 B L' D' F2 L2 F2 U2 D2 L U2 L2 B2 D2","0",""
"333","cfop","19550","1548846099888","B R2 F L2 B' R2 B F2 D2 U2 L' D B L' U L D' L D2 B","0",""
"333","cfop","14060","1548846134761","R' F2 R2 D2 R' U2 F2 R' U2 B U L B F R2 D F","0",""
"333","cfop","23470","1548846188149","U L2 B D' L B R2 L' D B D2 B2 L' D2 R2 F2 L U2 R","0",""
"333","cfop","17610","1548846228007","B2 L2 D2 U2 B U2 F2 R2 D2 L2 D B' R U2 R D2 B' F2 U' F","0",""
"333","cfop","19080","1548846267930","F2 R2 B' U2 F' R2 F' U2 R' D2 B' F2 U' R' B D' R' B2","0",""
"333","cfop","12350","1548846301821","D2 B2 D2 B U2 F D2 F2 D F U B F2 D' B' R' B' D U","0",""
"333","cfop","17730","1548846355309","D R' F2 L' B U' R' B U F2 B2 R U2 F2 D2 B2 D2 L2 D2 L2","0",""
"333","cfop","19620","1548846397398","R2 D F2 U2 F' R D2 L' D F' U2 F2 U' L2 D' R2 D2 B2 D","0",""
"333","cfop","21240","1548846447874","D2 L2 U L F' D' L' D R' U2 L2 U F2 L2 U R2 D F2 D2","0",""
"333","cfop","16340","1548846561987","B2 D2 L' U2 L2 U2 B2 L B2 L' D L' D2 L B' F' R D2 R","0",""
"333","cfop","22610","1548846611629","B D' F2 L F B' U F2 U' R F2 R2 L2 F' R2 B' D2 F' U2 R2","0",""
"333","cfop","18530","1548846870682","U' L2 B2 D2 L2 D' R2 U B2 F2 R2 B R' F' L' R2 D F L F2 L","0",""
"333","cfop","14710","1548847032769","U B2 L2 B2 U2 L2 U2 R' U' R' B' D F2 L' D' L2 R U2","0",""
"333","cfop","16530","1548847141696","B2 D' R2 U F2 D L2 F2 U B L' R' F' R B' L R2 U F2 R2","0",""
"333","cfop","23830","1548847190500","D B R' F R2 L D' R2 U L' B2 L2 U' B2 L2 U' F2 U B2 D2 B2","0",""
"333","cfop","19330","1548847232817","L2 B' L2 R2 F L2 U2 F' U' B' L R B D' R2 B' D B2 F'","0",""
"333","cfop","18590","1548847277056","B' R D R' F' R D L F U D2 L2 F' D2 L2 F U2 F R2 U2 B'","0",""
"333","cfop","23600","1548847330199","R B' R2 U B R L D F' U L2 B' R2 U2 R2 F' L2 B2 L2","0",""
"333","cfop","21840","1548847378659","D F2 U F2 L2 F2 R2 U2 L B U2 B L2 B D2 U' F2 R D2","2",""
"333","cfop","18660","1548847435757","U2 R2 B R2 B L2 R2 D2 F2 R2 F' L' B L' R U R2 D' L' B2 U'","0",""
"333","cfop","17420","1548847482800","F2 L F2 L2 D2 F2 D2 R' B2 L' R2 F' R' U' R B2 D' R' B","0",""
"333","cfop","16410","1548847523650","U2 R2 U2 B' R2 B F' R2 F2 D' L R2 B' L D' F' L R U'","0",""
"333","cfop","20600","1548847574040","L2 B' R2 U2 L2 U2 B' F2 L2 B D' R' B' F L' U F2 L D2 L","0",""
"333","cfop","16940","1548847616880","R B2 R2 B U R' B2 U' B' D' F' B2 R2 F D2 F' D2 F D2 B U2","0",""
"333","cfop","21070","1548847658546","R D2 F2 U' D R F B2 D' B D2 L U2 R2 B2 D2 F2 L' D2 B2","0",""
"333","cfop","15020","1548847700785","D2 F' D2 U2 F' U2 F2 D2 L2 B' R' D' U2 L' D2 L R2 B' D2 F2","0",""
"333","cfop","20710","1548847748387","U2 R2 B R2 B' L2 D2 B' F' D2 F' U' R' B2 D2 B' L' R U' R' B'","0",""
"333","cfop","20750","1548847790062","B2 D L2 D' B2 F2 U2 B2 L2 F L2 B U2 L D B D2 R F2 R2","0",""
"333","cfop","18520","1548847916134","B2 R' D2 F2 R D F U L2 B' R2 U2 L2 B2 U' F2 U' R2 U' B2 U2","0",""
"333","cfop","18080","1548847964610","D L' B R B U D' B L' F U' R2 U F2 U2 R2 U L2 D2 R2 D'","0",""
"333","cfop","19590","1548848008123","D2 L2 F2 U' B2 D R2 U' F2 D B2 R' U2 F' L U F' D' R' F R","0",""
"333","cfop","20440","1548848119959","F2 U' R2 B2 D' B2 U2 R2 U R' D' B' L2 F L' U' L2 U2 L2 D2","0",""
"333","cfop","17560","1548848162764","B D2 B' R2 D' F' U' R' L' U B2 R2 F2 R2 U' R2 D L2","0",""
"333","cfop","17870","1548848213380","F2 D2 F2 L2 D2 U2 F' L2 F L2 F2 D U F' L' U' R' D2 F U' R2","0",""
"333","cfop","20040","1548848293332","B2 R U F R2 F' D2 F' B' U F2 R F2 U2 L2 B2 L' B2 D2 F2","0",""
"333","cfop","18410","1548848369014","D R2 D' B2 D2 R2 D2 F2 D' B D F2 U' L U2 R2 B L2 R B","0",""
"333","cfop","18260","1548848418410","D B2 U' B2 F2 L2 D' U' B2 U' B R2 U L2 D2 R' B' L' F L","0",""
"333","cfop","16260","1548848459588","U' R' B' U L2 B' R' U2 R D' F2 R2 D B2 L2 F2 D2 F2 U2","0",""
"333","cfop","16960","1548848505864","D' F2 U' R2 U R2 D2 R2 F' L R D U R' B2 D' R2 B F'","0",""
"333","cfop","18330","1548848552024","D F2 L2 U' B2 U R2 F2 U B2 L2 B R2 F' L R' F' D B2 R' D2","2",""
"333","cfop","20510","1548857372273","L U2 F' B' R' D2 F' U' B D' F R2 D2 L2 U2 F' D2 B2 D2 R2 F","1",""
